# 02AggregateData2Daily.R; alles mean
%	 351
%	 16
% Key	Time	nnit13	GWl3	GWl25	GWl32	Wt13	Wt18	sol71	con47	At47	Smoist24	St24	q13	q18	rain	
107	2013-06-28	2.96544895833333	0.831745938375	1.17859375	0.4588258178125	12.0533333333333	12.3564583333333	153.12540625	0.041478125	13.3188541666667	0.230333333333333	13.625	2.96181413541667	3.04476383333333	0
108	2013-06-29	2.75098854166667	0.837712633395833	1.18366666666667	0.450884086166667	12.8816666666667	13.1615625	193.916208333333	0.0489739583333333	14.640625	0.248708333333333	14.3333333333333	3.21724529166667	3.32855788541667	6.3
109	2013-06-30	3.008178125	0.84865176025	1.20364583333333	0.460718564666667	11.9648958333333	12.2896875	264.017322916667	0.0407354166666667	13.58790625	0.258416666666667	13.6208333333333	2.96734919791667	2.96326760416667	0
110	2013-07-01	3.22279895833333	0.838937887020833	1.20672916666667	0.4762703094375	13.1232291666667	13.609375	320.953895833333	0.0417489583333333	17.5739583333333	0.254416666666667	14.3958333333333	2.734768125	2.74959516666667	0
111	2013-07-02	3.347653125	0.850372471625	1.21869791666667	0.49485630303125	13.4895833333333	13.940625	305.658583333333	0.0422989583333333	18.0753125	0.2495	15.0833333333333	2.57508255208333	2.56868584375	0
112	2013-07-03	2.74750416666667	0.861080608041667	1.21810416666667	0.46061124396875	14.1148958333333	14.4858333333333	103.4689375	0.0534479166666667	17.1444791666667	0.255125	15.7125	3.45649101041667	3.80668310416667	15.3
113	2013-07-04	2.57206526315789	0.888638372168421	1.24078947368421	0.440806415884211	14.4552631578947	14.8390526315789	246.042831578947	0.03892	18.6630526315789	0.270873684210526	16.2652631578947	3.08950957894737	3.32556843157895	0
114	2013-07-05	2.92172631578947	0.892712543094737	1.26581052631579	0.471497876105263	14.6986315789474	15.1037894736842	252.224084210526	0.0414505263157895	18.6742105263158	0.2698	16.6673684210526	2.74842103157895	2.85709783157895	0
115	2013-07-06	3.03935684210526	0.888097103957895	1.27627368421053	0.482885167	14.5072631578947	15.0308421052632	319.426315789474	0.0422663157894737	18.8414736842105	0.263326315789474	16.0663157894737	2.54304115789474	2.52697747368421	0
116	2013-07-07	3.2886	0.894997146	1.283	0.482885167	14.09	14.7	0.338	0.0425	13.49	0.26	16.2	2.520283	2.418002	0
